name,rating,card_type,position,nation,league,team,pace,shooting,passing,dribbling,defense,physicality
Aaron Mooy,76,common,CM,Australia,cinch Premiership,Celtic,62,72,78,74,69,75
Roland Sallai,76,common,RM,Hungary,Bundesliga,SC Freiburg,75,70,71,78,37,65
Pape Gueye,76,common,CDM,Senegal,,OM,63,48,66,70,73,79
Grischa Prömel,76,common,CM,Germany,Bundesliga,TSG Hoffenheim,65,71,71,73,74,81
Gustavo Cuéllar,76,common,CDM,Colombia,Rest of World,Al Hilal,69,50,66,69,74,81
Cheick Doucouré,76,common,CM,Mali,Premier League,Crystal Palace,68,57,71,76,74,76
Andreas Pereira,76,common,CAM,Brazil,Premier League,Fulham,76,74,77,78,65,68
Andreas Skov Olsen,76,common,RM,Denmark,1A Pro League,Club Brugge,86,74,69,76,39,68
Martín Ojeda,76,common,RM,Argentina,Liga Profesional de Fútbol,Godoy Cruz,83,76,73,76,34,61
Christian Nørgaard,76,common,CDM,Denmark,Premier League,Brentford,58,60,69,69,76,78
Xherdan Shaqiri,76,common,CAM,Switzerland,Major League Soccer,Chicago Fire FC,69,75,79,79,45,62
Orbelín Pineda,76,common,LM,Mexico,Hellas Liga,AEK Athens,81,74,72,79,62,66
Diadié Samassékou,76,common,CDM,Mali,Bundesliga,TSG Hoffenheim,65,49,65,72,76,74
Aaron Ramsey,76,common,CM,Wales,Ligue 1 Uber Eats,OGC Nice,51,71,78,79,65,62
Stephen Eustáquio,76,common,CDM,Canada,Liga Portugal,FC Porto,66,61,75,72,72,72
Jasmin Kurtić,76,common,CM,Slovenia,Hellas Liga,PAOK,58,76,75,72,73,76
Ladislav Krejčí,76,common,CDM,Czech Republic,Česká Liga,Sparta Praha,67,66,67,68,74,84
Roque Mesa,76,common,CM,Spain,LaLiga SmartBank,R. Valladolid CF,67,67,76,75,67,80
Roberto Torres,76,common,RM,Spain,LaLiga Santander,CA Osasuna,63,74,78,73,65,70
Naïm Sliti,76,common,LM,Tunisia,Rest of World,Ettifaq FC,73,72,72,80,34,68
Bertrand Traoré,76,common,RM,Burkina Faso,Süper Lig,Başakşehir,77,72,73,81,45,64
Hicham Boudaoui,76,common,RM,Algeria,Ligue 1 Uber Eats,OGC Nice,74,65,71,79,72,72
Curtis Jones,76,common,CM,England,Premier League,Liverpool,68,68,72,80,64,71
Rasmus Falk,76,rare,CM,Denmark,3F Superliga,F.C. København,77,59,72,80,68,74
Dwight McNeil,76,common,LM,England,Premier League,Everton,70,65,75,79,53,66
Anton Stach,76,rare,CM,Germany,Bundesliga,1. FSV Mainz 05,74,67,74,69,74,78
Ruud Vormer,76,common,CM,Netherlands,1A Pro League,Club Brugge,50,75,79,70,75,75
Leander Dendoncker,76,common,CM,Belgium,Premier League,Aston Villa,61,69,76,71,77,81
Rubén Alcaraz,76,common,CM,Spain,LaLiga Santander,Cádiz CF,56,73,77,71,75,81
Franco Vázquez,76,common,CAM,Argentina,Calcio B,Parma,46,78,77,77,58,75
Sebastián Blanco,76,common,CAM,Argentina,Major League Soccer,Portland Timbers,72,76,75,78,35,67
Christian Fassnacht,76,common,RM,Switzerland,Credit Suisse Super League,BSC Young Boys,82,70,70,75,37,72
Óscar,76,common,CM,Spain,LaLiga Santander,RC Celta,59,75,76,76,56,55
Marko Grujić,76,common,CM,Serbia,Liga Portugal,FC Porto,61,71,71,77,73,80
Vitaliy Buyalskyi,76,common,CM,Ukraine,Ukrayina Liha,Dynamo Kyiv,75,69,72,79,69,56
Esequiel Barco,76,conmebol-libertadores,LM,Argentina,CONMEBOL Libertadores,River Plate,84,70,73,81,34,52
Érick Gutiérrez,76,common,CM,Mexico,Eredivisie,PSV,68,71,75,75,69,69
Álex Fernández,76,common,CAM,Spain,LaLiga Santander,Cádiz CF,53,71,80,73,67,63
Diego Rossi,76,common,LM,Uruguay,Süper Lig,Fenerbahçe,84,72,71,77,33,54
Javier Pastore,76,common,CAM,Argentina,LaLiga Santander,Elche CF,60,73,78,76,52,48
Puertas,76,common,RM,Spain,LaLiga SmartBank,Granada CF,76,73,71,76,43,74
Dejan Ljubičić,76,common,RM,Austria,Bundesliga,1. FC Köln,78,67,71,75,72,78
Moi Gómez,76,common,LM,Spain,LaLiga Santander,CA Osasuna,65,73,77,76,55,61
Nedim Bajrami,76,common,CAM,Albania,Serie A TIM,Empoli,76,68,73,77,59,66
Yangel Herrera,76,common,CM,Venezuela,LaLiga SmartBank,Girona FC,62,70,72,74,77,78
Ander Guevara,76,common,CM,Spain,LaLiga Santander,Real Sociedad,50,64,74,72,73,69
Gaël Kakuta,76,common,CAM,DR Congo,Ligue 1 Uber Eats,RC Lens,70,73,76,80,40,59
Tyler Adams,76,rare,CDM,United States,Premier League,Leeds United,80,48,69,73,73,76
Lucas Romero,76,conmebol-sudamericana,CDM,Argentina,CONMEBOL Sudamericana,Independiente,75,62,73,73,74,76
Maxime Gonalons,76,common,CDM,France,Ligue 1 Uber Eats,Clermont Foot 63,44,61,72,68,75,70
Eberechi Eze,76,common,CAM,England,Premier League,Crystal Palace,75,70,74,81,47,67
Dominik Kohr,76,rare,CDM,Germany,Bundesliga,1. FSV Mainz 05,80,62,63,71,77,81
Dani Rodríguez,76,common,LM,Spain,LaLiga Santander,RCD Mallorca,84,75,74,72,63,69
Ryan Fraser,76,common,RM,Scotland,Premier League,Newcastle Utd,83,69,71,80,49,61
Enis Bardhi,76,common,LM,FYR Macedonia,Süper Lig,Trabzonspor,71,78,77,78,57,51
Alejandro Silva,76,conmebol-libertadores,RM,Uruguay,CONMEBOL Libertadores,Olimpia,87,68,72,75,63,72
Florentino,76,common,CDM,Portugal,Liga Portugal,SL Benfica,56,44,62,68,77,72
Ashley Westwood,76,common,CDM,England,EFL Championship,Burnley,56,63,78,73,72,73
Jonathan Bamba,76,common,LM,France,Ligue 1 Uber Eats,LOSC Lille,84,71,72,78,39,67
Stuart Armstrong,76,common,RM,Scotland,Premier League,Southampton,70,77,73,76,65,71
Sanjin Prcić,76,common,CDM,Bosnia Herzegovina,Ligue 1 Uber Eats,Strasbourg,55,60,74,75,72,72
Vanderson,76,common,RM,Brazil,Ligue 1 Uber Eats,AS Monaco,78,62,74,75,69,69
Rodrigo Aliendro,76,conmebol-libertadores,CM,Argentina,CONMEBOL Libertadores,River Plate,77,72,71,80,72,76
Ruben Loftus-Cheek,76,common,CM,England,Premier League,Chelsea,65,68,75,78,66,75
Andros Townsend,76,common,RM,England,Premier League,Everton,74,73,75,79,38,65
Keidi Bare,76,rare,CDM,Albania,LaLiga Santander,RCD Espanyol,75,60,68,74,72,79
Alexis Mac Allister,76,common,CAM,Argentina,Premier League,Brighton,69,77,78,75,56,62
Manor Solomon,76,common,LM,Israel,Premier League,Fulham,80,71,74,79,43,57
Magomed Ozdoev,76,common,CDM,Russia,Süper Lig,Karagümrük SK,75,71,74,76,73,74
Patrick Wimmer,76,common,RM,Austria,Bundesliga,VfL Wolfsburg,85,66,69,77,48,73
Baptiste Santamaria,76,common,CM,France,Ligue 1 Uber Eats,Stade Rennais FC,49,65,72,74,73,74
Matheus Pereira,76,common,CAM,Brazil,Rest of World,Al Hilal,72,72,76,79,39,64
Boubakary Soumaré,76,common,CDM,France,Premier League,Leicester City,68,56,73,74,70,80
Maxi Moralez,76,common,CAM,Argentina,Major League Soccer,New York City FC,68,71,75,78,52,49
Enock Mwepu,76,rare,CM,Zambia,Premier League,Brighton,82,75,72,75,72,78
Danilo Cataldi,76,common,CDM,Italy,Serie A TIM,Latium,72,71,77,76,73,70
Shoya Nakajima,76,rare,CAM,Japan,Süper Lig,Antalyaspor,86,71,71,82,37,47
Ross Barkley,76,common,CAM,England,Ligue 1 Uber Eats,OGC Nice,68,73,76,78,56,70
Álvaro García,76,common,LM,Spain,LaLiga Santander,Rayo Vallecano,91,67,71,75,37,45
Evander,76,common,CM,Brazil,3F Superliga,FC Midtjylland,73,71,76,80,67,69
Renato Steffen,76,common,LM,Switzerland,Credit Suisse Super League,FC Lugano,85,71,71,79,54,66
Gonzalo Escalante,76,common,CDM,Argentina,,,63,67,72,71,73,74
Radja Nainggolan,76,rare,CM,Belgium,1A Pro League,Royal Antwerp FC,68,79,76,74,71,78
Harry Winks,76,common,CM,England,Serie A TIM,Sampdoria,60,59,76,77,71,64
Mikkel Damsgaard,76,common,LM,Denmark,Premier League,Brentford,84,68,71,81,48,62
Harry Wilson,76,common,RM,Wales,Premier League,Fulham,77,78,76,76,45,58
Florent Mollet,76,common,RM,France,Bundesliga,FC Schalke 04,70,75,76,78,51,64
Marc Roca,76,common,CDM,Spain,Premier League,Leeds United,45,62,76,72,70,67
Thiago Mendes,76,common,CDM,Brazil,Ligue 1 Uber Eats,OL,68,67,74,75,73,74
Jeffrey Schlupp,76,common,LM,Ghana,Premier League,Crystal Palace,84,71,69,76,71,74
Mattias Svanberg,76,common,CM,Sweden,Bundesliga,VfL Wolfsburg,77,68,75,77,63,69
Mohammed Kudus,76,rare,CAM,Ghana,Eredivisie,Ajax,88,71,70,80,59,74
Morgan Sanson,76,common,CM,France,Premier League,Aston Villa,69,73,77,75,70,72
Lee Jae Sung,76,common,CM,Korea Republic,Bundesliga,1. FSV Mainz 05,68,64,75,81,57,61
Nicolás Domínguez,76,rare,CM,Argentina,Serie A TIM,Bologna,75,66,72,76,72,77
Roberto Gagliardini,76,common,CDM,Italy,Serie A TIM,Inter,53,63,71,73,76,74
Youcef Belaïli,76,common,LM,Algeria,Ligue 1 Uber Eats,Stade Brestois 29,79,74,72,79,26,68
Xavier Mercier,76,common,CAM,France,,,66,71,81,73,47,64
Luciano Acosta,76,rare,CAM,Argentina,Major League Soccer,FC Cincinnati,79,66,71,83,46,56
Tonny Vilhena,76,common,LM,Netherlands,Serie A TIM,Salernitana,73,72,76,77,73,77
Daniele Rugani,76,common,CB,Italy,,,55,40,55,63,78,71
Mauricio Isla,76,conmebol-libertadores,RB,Chile,CONMEBOL Libertadores,Uni. Católica,77,54,73,75,72,73
Ghislain Konan,76,common,LB,Ivory Coast,Rest of World,Al Nassr,78,51,68,75,72,71
Mattia De Sciglio,76,common,RB,Italy,,,67,46,70,75,76,69
Rayan Aït Nouri,76,common,LWB,France,Premier League,Wolves,77,44,70,76,73,62
Fali,76,common,CB,Spain,LaLiga Santander,Cádiz CF,52,53,68,59,75,87
Liam Cooper,76,common,CB,Scotland,Premier League,Leeds United,49,35,56,58,77,77
James Justin,76,common,LB,England,Premier League,Leicester City,81,50,69,72,73,70
Eric Bailly,76,common,CB,Ivory Coast,,OM,70,42,56,66,76,74
Kevin Vogt,76,common,CB,Germany,Bundesliga,TSG Hoffenheim,71,57,72,68,77,75
Eric García,76,common,CB,Spain,LaLiga Santander,FC Barcelona,62,44,71,68,77,71
Nahuel Tenaglia,76,common,RB,Argentina,LaLiga SmartBank,D. Alavés,71,43,65,72,75,79
Ricardo Esgaio,76,common,RWB,Portugal,Liga Portugal,Sporting CP,69,66,74,76,69,67
Birger Meling,76,common,LB,Norway,Ligue 1 Uber Eats,Stade Rennais FC,82,55,71,75,70,68
Diego Rico,76,common,LB,Spain,LaLiga Santander,Real Sociedad,72,55,73,70,74,75
Robin Knoche,76,common,CB,Germany,Bundesliga,Union Berlin,51,41,52,50,78,72
Luan Peres,76,common,LB,Brazil,Süper Lig,Fenerbahçe,69,38,66,68,76,75
Diego Llorente,76,common,CB,Spain,Premier League,Leeds United,67,40,63,68,75,78
Zaidu Sanusi,76,rare,LB,Nigeria,Liga Portugal,FC Porto,93,37,56,64,74,72
Przemysław Frankowski,76,common,LWB,Poland,Ligue 1 Uber Eats,RC Lens,92,70,72,74,65,72
Catena,76,common,CB,Spain,LaLiga Santander,Rayo Vallecano,66,39,57,50,77,77
Pascal Struijk,76,common,CB,Netherlands,Premier League,Leeds United,57,38,61,63,77,76
Rubén Duarte,76,common,LB,Spain,LaLiga SmartBank,D. Alavés,62,38,65,68,78,67
Attila Szalai,76,common,CB,Hungary,Süper Lig,Fenerbahçe,73,44,62,61,76,83
Gerzino Nyamsi,76,common,CB,France,Ligue 1 Uber Eats,Strasbourg,47,33,51,56,76,82
Omar Alderete,76,common,CB,Paraguay,LaLiga Santander,Getafe CF,63,56,58,63,77,78
Lucas Martínez Quarta,76,common,CB,Argentina,Serie A TIM,Fiorentina,64,56,69,70,75,78
Wilfried Singo,76,common,RWB,Ivory Coast,Serie A TIM,Torino,79,57,67,74,72,74
Domagoj Vida,76,common,CB,Croatia,Hellas Liga,AEK Athens,74,40,58,59,78,81
Mauro Júnior,76,common,RB,Brazil,Eredivisie,PSV,84,66,75,79,68,57
Jérôme Roussillon,76,common,LB,France,Bundesliga,VfL Wolfsburg,86,65,71,78,71,73
Léo Dubois,76,common,RB,France,Süper Lig,Galatasaray,70,58,74,72,74,71
Walker Zimmerman,76,common,CB,United States,Major League Soccer,Nashville SC,57,50,55,56,74,84
Ahmed Hegazi,76,common,CB,Egypt,Rest of World,Al Ittihad,46,20,50,55,76,84
Vivian,76,common,CB,Spain,LaLiga Santander,Athletic Club,70,43,55,60,77,77
Koray Günter,76,common,CB,Germany,Serie A TIM,Hellas Verona,62,46,64,65,77,71
Tyrick Mitchell,76,common,LB,England,Premier League,Crystal Palace,77,39,60,70,75,68
Trevoh Chalobah,76,common,CB,England,Premier League,Chelsea,64,47,65,68,76,76
Dedryck Boyata,76,common,CB,Belgium,1A Pro League,Club Brugge,68,30,53,58,77,77
Castello Lukeba,76,common,CB,France,Ligue 1 Uber Eats,OL,73,43,67,70,77,74
Reece Oxford,76,common,CB,England,Bundesliga,FC Augsburg,68,33,54,62,77,75
Aridane,76,common,CB,Spain,LaLiga Santander,CA Osasuna,50,36,54,54,75,85
Thilo Kehrer,76,common,CB,Germany,Premier League,West Ham,75,44,65,66,76,78
Luca Pellegrini,76,common,LB,Italy,Bundesliga,Frankfurt,84,54,66,75,71,62
Lorenzo De Silvestri,76,common,RWB,Italy,Serie A TIM,Bologna,72,67,71,73,73,75
Sverrir Ingi Ingason,76,common,CB,Iceland,Hellas Liga,PAOK,61,53,58,58,78,77
Adrià Pedrosa,76,rare,LB,Spain,LaLiga Santander,RCD Espanyol,90,60,69,78,69,73
Víctor Díaz,76,common,CB,Spain,LaLiga SmartBank,Granada CF,70,56,68,66,77,75
Timo Hübers,76,rare,CB,Germany,Bundesliga,1. FC Köln,80,39,56,58,78,73
Wesley Hoedt,76,common,CB,Netherlands,1A Pro League,RSC Anderlecht,52,46,67,60,76,78
Fabrizio Angileri,76,common,LB,Argentina,LaLiga Santander,Getafe CF,79,71,76,75,70,80
Adam Webster,76,common,CB,England,Premier League,Brighton,68,31,60,69,77,74
Patrick van Aanholt,76,common,LB,Netherlands,Süper Lig,Galatasaray,83,68,72,75,72,73
Eugenio Mena,76,conmebol-sudamericana,LB,Chile,CONMEBOL Sudamericana,Racing Club,80,52,70,73,70,77
Jaume Costa,76,common,LB,Spain,LaLiga Santander,RCD Mallorca,70,61,69,72,74,69
Zeki Çelik,76,common,RWB,Turkey,Serie A TIM,Roma FC,77,59,69,71,73,78
Jorge Sánchez,76,rare,RB,Mexico,Eredivisie,Ajax,92,50,64,75,71,81
Vitaliy Mykolenko,76,common,LB,Ukraine,Premier League,Everton,76,46,64,61,73,62
Jeremiah St. Juste,76,rare,CB,Netherlands,Liga Portugal,Sporting CP,93,58,65,74,78,73
Juan Jesus,76,common,CB,Brazil,,,69,33,51,60,78,73
Yunis Abdelhamid,76,common,CB,Morocco,Ligue 1 Uber Eats,Stade de Reims,32,33,57,62,76,80
Zaldúa,76,common,RB,Spain,LaLiga Santander,Cádiz CF,66,37,68,65,75,75
Frank Fabra,76,conmebol-libertadores,LB,Colombia,CONMEBOL Libertadores,Boca Juniors,83,68,74,78,69,77
Daniel Amartey,76,common,CB,Ghana,Premier League,Leicester City,63,55,65,69,76,76
Ömer Toprak,76,common,CB,Turkey,Süper Lig,Antalyaspor,68,39,60,67,78,72
Facundo Medina,76,rare,CB,Argentina,Ligue 1 Uber Eats,RC Lens,73,33,60,69,76,76
Joakim Mæhle,76,common,RWB,Denmark,Serie A TIM,Bergamo Calcio,85,56,69,72,68,78
Mamadou Sakho,76,common,CB,France,Ligue 1 Uber Eats,Montpellier,40,35,64,55,75,81
Romain Perraud,76,common,LB,France,Premier League,Southampton,72,72,75,75,72,73
Paulo Otávio,76,common,LB,Brazil,Bundesliga,VfL Wolfsburg,88,55,67,77,70,58
Timo Baumgartl,76,common,CB,Germany,Bundesliga,Union Berlin,63,36,56,52,76,77
Luis Advíncula,76,conmebol-libertadores,RB,Peru,CONMEBOL Libertadores,Boca Juniors,91,64,69,74,69,82
Óscar Gil,76,common,RB,Spain,LaLiga Santander,RCD Espanyol,79,48,68,75,72,72
Sequeira,76,common,LB,Portugal,Liga Portugal,SC Braga,67,59,68,71,77,75
Luís Neto,76,common,CB,Portugal,Liga Portugal,Sporting CP,64,37,55,56,78,73
Igor,76,common,CB,Brazil,Serie A TIM,Fiorentina,73,31,50,55,77,83
Youssouf Sabaly,76,common,RB,Senegal,LaLiga Santander,Real Betis,77,46,64,71,73,70
André Ramalho,76,common,CB,Brazil,Eredivisie,PSV,50,59,67,66,77,77
Robin Koch,76,common,CB,Germany,Premier League,Leeds United,62,38,60,64,77,73
Edgar,76,common,CB,Spain,LaLiga Santander,Real Betis,53,49,64,63,77,78
Jan Bednarek,76,common,CB,Poland,Premier League,Aston Villa,48,22,53,55,77,78
Nicolò Casale,76,common,CB,Italy,Serie A TIM,Latium,74,53,66,68,77,77
Brandon Mechele,76,common,CB,Belgium,1A Pro League,Club Brugge,59,38,50,54,80,76
Carlos Neva,76,common,LB,Spain,LaLiga SmartBank,Granada CF,77,52,63,71,73,66
João Victor,76,common,CB,Brazil,Liga Portugal,SL Benfica,78,50,52,57,77,77
Erik Sviatchenko,76,common,CB,Denmark,3F Superliga,FC Midtjylland,60,51,61,61,76,82
Thierry Correia,76,common,RB,Portugal,LaLiga Santander,Valencia CF,90,49,68,75,70,70
Séamus Coleman,76,common,RB,Republic of Ireland,Premier League,Everton,65,65,72,76,77,70
David Carmo,76,common,CB,Portugal,Liga Portugal,FC Porto,50,28,53,51,77,79
Yeimar Gómez Andrade,76,common,CB,Colombia,Major League Soccer,Sounders FC,63,33,48,57,75,86
Miranda,76,common,LB,Spain,LaLiga Santander,Real Betis,77,58,68,74,72,65
Leonardo Sigali,76,conmebol-sudamericana,CB,Argentina,CONMEBOL Sudamericana,Racing Club,66,51,57,61,77,76
Logan Costa,75,domestic-man-of-the-match,CB,Cape Verde Islands,Ligue 1 Uber Eats,Toulouse FC,72,50,47,49,79,85
Omar Colley,75,common,CB,Gambia,Süper Lig,Beşiktaş,65,31,48,54,74,83
Alexandru Maxim,75,common,CAM,Romania,Süper Lig,Beşiktaş,69,73,73,79,32,58
Josip Juranović,75,common,RB,Croatia,Bundesliga,Union Berlin,86,64,73,74,70,68
André Ayew,75,common,ST,Ghana,Premier League,Nott'm Forest,69,74,72,77,57,74
Anthony Gordon,75,common,LM,England,Premier League,Newcastle Utd,80,69,72,75,37,62
Djed Spence,75,common,RWB,England,Ligue 1 Uber Eats,Stade Rennais FC,89,43,58,74,67,63
Cédric,75,common,RB,Portugal,Premier League,Fulham,71,61,70,75,73,64
Albert Sambi Lokonga,75,common,CM,Belgium,Premier League,Crystal Palace,66,58,75,78,69,69
Kamaldeen Sulemana,75,common,LW,Ghana,Premier League,Southampton,93,69,66,80,28,62
Matías Viña,75,common,LWB,Uruguay,Premier League,AFC Bournemouth,81,62,70,74,68,68
Éder Balanta,75,common,CDM,Colombia,Bundesliga,FC Schalke 04,64,43,62,69,76,84
Alberth Elis,75,rare,ST,Honduras,Ligue 1 Uber Eats,Stade Brestois 29,91,72,65,75,31,77
Islam Slimani,75,common,ST,Algeria,1A Pro League,RSC Anderlecht,44,76,72,69,47,80
Eldor Shomurodov,75,common,ST,Uzbekistan,Serie A TIM,Spezia,82,74,63,75,39,70
Marc Albrighton,75,common,RM,England,EFL Championship,West Brom,65,68,76,76,61,65
Samu Sáiz,75,rare,ST,Spain,Süper Lig,Sivasspor,79,75,74,77,31,70
Marvelous Nakamba,75,common,CDM,Zimbabwe,EFL Championship,Luton Town,62,49,62,71,74,76
Djordje Mihailovic,75,common,CF,United States,Eredivisie,AZ,72,70,76,76,60,68
Bram Nuytinck,75,common,CB,Netherlands,Serie A TIM,Sampdoria,63,40,53,58,79,71
Maximilian Wöber,75,common,CB,Austria,Premier League,Leeds United,72,51,66,64,74,80
Lallianzuala Chhangte,75,team-of-the-week,RW,India,Hero Indian Super League,Mumbai City FC,96,65,67,76,40,70
Emmanuel Latte Lath,75,team-of-the-week,ST,Ivory Coast,Credit Suisse Super League,FC St. Gallen,86,75,69,78,48,67
Fernán Faerron,75,world-cup-player,CB,Costa Rica,World Cup,Costa Rica,79,51,62,70,71,79
Garang Kuol,75,world-cup-player,LM,Australia,World Cup,Australia,92,70,65,73,38,56
Eoin Doyle,75,team-of-the-week,ST,Republic of Ireland,SSE Airtricity Premier Division,St. Pats,74,76,70,75,38,81
Dimitri Petratos,75,team-of-the-week,ST,Australia,Hero Indian Super League,ATK Mohun Bagan,77,75,75,78,58,81
Danylo Sikan,75,team-of-the-week,ST,Ukraine,Ukrayina Liha,Shakhtar Donetsk,86,78,60,77,38,68
Jevani Brown,75,team-of-the-week,CAM,Jamaica,EFL League One,Exeter City,90,73,75,78,56,78
Gabriel Hauche,75,conmebol-sudamericana,RW,Argentina,CONMEBOL Sudamericana,Racing Club,82,71,70,76,43,72
Adam Buksa,75,common,ST,Poland,Ligue 1 Uber Eats,RC Lens,67,74,57,70,31,76
Myron Boadu,75,rare,ST,Netherlands,Ligue 1 Uber Eats,AS Monaco,88,74,62,76,28,66
Fabio Borini,75,common,LW,Italy,Süper Lig,Karagümrük SK,73,74,72,76,45,68
Wahbi Khazri,75,common,CF,Tunisia,Ligue 1 Uber Eats,Montpellier,69,78,75,76,42,69
Toni Martínez,75,common,ST,Spain,Liga Portugal,FC Porto,69,76,59,72,24,77
Danny Welbeck,75,common,ST,England,Premier League,Brighton,70,73,67,74,42,66
Taxiarchis Fountas,75,rare,CF,Greece,Major League Soccer,D.C. United,88,75,66,76,47,65
Jordan Ayew,75,common,RW,Ghana,Premier League,Crystal Palace,74,73,69,77,55,73
Romell Quioto,75,common,ST,Honduras,Major League Soccer,CF Montréal,85,73,69,71,22,81
Islam Slimani,75,common,ST,Algeria,Ligue 1 Uber Eats,Stade Brestois 29,44,76,72,69,47,80
Carlos Júnior,75,common,RW,Brazil,Rest of World,Al Shabab,81,75,65,78,44,69
Lucas Janson,75,conmebol-libertadores,LW,Argentina,CONMEBOL Libertadores,Vélez Sarsfield,84,72,66,79,36,63
Bafétimbi Gomis,75,common,ST,France,Süper Lig,Galatasaray,33,80,68,67,36,67
Steven Zuber,75,common,LW,Switzerland,Hellas Liga,AEK Athens,77,73,73,76,67,73
Niclas Füllkrug,75,common,ST,Germany,Bundesliga,SV Werder Bremen,61,76,62,70,36,74
Borja Bastón,75,common,ST,Spain,LaLiga SmartBank,R. Oviedo,49,77,63,66,37,79
Georginio Rutter,75,common,ST,France,Bundesliga,TSG Hoffenheim,77,74,59,76,24,64
Mata,75,common,ST,Spain,LaLiga Santander,Getafe CF,65,75,62,73,31,74
Santiago Giménez,75,common,ST,Mexico,Eredivisie,Feyenoord,74,76,67,71,52,80
Marcus Berg,75,common,ST,Sweden,Allsvenskan,IFK Göteborg,67,75,63,72,35,68
Andreas Cornelius,75,common,ST,Denmark,3F Superliga,F.C. København,64,76,61,63,36,80
Simon Banza,75,common,ST,France,Liga Portugal,SC Braga,69,74,54,74,31,76
Manolo Gabbiadini,75,common,ST,Italy,Serie A TIM,Sampdoria,65,79,71,76,26,62
Bruno Petković,75,common,ST,Croatia,Liga Hrvatska,Dinamo Zagreb,74,72,76,79,39,75
Juan Martín Lucero,75,conmebol-libertadores,ST,Argentina,CONMEBOL Libertadores,Colo-Colo,74,75,62,71,34,69
Jamie Maclaren,75,common,ST,Australia,A-League,Melbourne City,81,75,64,73,39,76
Armando Broja,75,common,ST,Albania,Premier League,Chelsea,76,74,54,75,29,76
Mohamed Bayo,75,common,ST,Guinea,Ligue 1 Uber Eats,LOSC Lille,70,76,60,73,26,62
Samu Sáiz,75,rare,ST,Spain,LaLiga SmartBank,Girona FC,79,75,74,77,31,70
Brennan Johnson,75,common,RW,Wales,Premier League,Nott'm Forest,88,72,67,76,41,57
Bryan Mbeumo,75,common,RW,Cameroon,Premier League,Brentford,81,73,70,76,41,71
Marko Pjaca,75,common,CF,Croatia,Serie A TIM,Empoli,77,69,74,81,41,63
Théo Bongonda,75,common,LW,DR Congo,LaLiga Santander,Cádiz CF,79,71,71,79,33,60
Alberth Elis,75,rare,ST,Honduras,Ligue 2 BKT,Bordeaux,91,72,65,75,31,77
Noah Okafor,75,rare,ST,Switzerland,Österreichische Fußball-Bundesliga,RB Salzburg,93,73,68,75,31,75
Michael Frey,75,common,ST,Switzerland,1A Pro League,Royal Antwerp FC,61,77,63,65,42,88
Facundo Farías,75,conmebol-libertadores,ST,Argentina,CONMEBOL Libertadores,Colón,86,72,69,83,39,70
Kike García,75,common,ST,Spain,LaLiga Santander,CA Osasuna,57,76,64,73,44,73
Teemu Pukki,75,common,ST,Finland,EFL Championship,Norwich,77,76,62,73,36,73
Johnny Russell,75,common,RW,Scotland,Major League Soccer,Sporting KC,77,75,71,76,50,79
Dominic Solanke,75,common,ST,England,Premier League,AFC Bournemouth,71,74,64,73,28,78
Tiago Tomás,75,common,ST,Portugal,Bundesliga,VfB Stuttgart,87,70,58,77,38,69
Vedat Muriqi,75,common,ST,Kosovo,LaLiga Santander,RCD Mallorca,50,75,58,68,28,82
Gabriel Strefezza,75,common,RW,Brazil,Serie A TIM,Lecce,82,64,72,77,27,50
Ben Brereton Díaz,75,common,ST,Chile,EFL Championship,Blackburn Rovers,84,73,63,74,41,76
Anthony Lozano,75,common,ST,Honduras,LaLiga Santander,Cádiz CF,79,75,66,71,37,74
José Pedro Fuenzalida,75,conmebol-libertadores,RW,Chile,CONMEBOL Libertadores,Uni. Católica,80,65,72,78,66,70
Jérémy Doku,75,common,RW,Belgium,Ligue 1 Uber Eats,Stade Rennais FC,91,65,66,80,25,64
Nordin Amrabat,75,common,RW,Morocco,Hellas Liga,AEK Athens,74,72,75,78,53,83
Thembinkosi Lorch,75,common,RW,South Africa,Chinese Football Association Super League,Orlando Pirates,78,73,71,74,46,55
Djordje Mihailovic,75,common,CF,United States,Major League Soccer,CF Montréal,72,70,76,76,60,68
Rochinha,75,common,LW,Portugal,Liga Portugal,Sporting CP,83,67,69,80,40,53
Jean-Pierre Nsame,75,common,ST,Cameroon,Credit Suisse Super League,BSC Young Boys,77,74,54,71,27,80
Michael,75,common,LW,Brazil,Rest of World,Al Hilal,84,70,63,83,28,56
Júnior Negão,75,common,ST,Brazil,Chinese Football Association Super League,Changchun Yatai,77,75,60,70,35,79
Munas Dabbur,75,common,ST,Israel,Bundesliga,TSG Hoffenheim,57,74,65,77,32,68
Cucho Hernández,75,rare,ST,Colombia,Major League Soccer,Columbus Crew,82,75,65,73,42,74
Romain Alessandrini,75,rare,ST,France,Chinese Football Association Super League,Shenzhen FC,85,78,72,78,45,68
Loïs Openda,75,rare,ST,Belgium,Ligue 1 Uber Eats,RC Lens,93,73,64,74,26,76
Joshua King,75,common,ST,Norway,Süper Lig,Fenerbahçe,79,75,70,76,38,74
Teófilo Gutiérrez,75,conmebol-libertadores,ST,Colombia,CONMEBOL Libertadores,Deportivo Cali,52,75,74,79,28,75
Riccardo Sottil,75,common,LW,Italy,Serie A TIM,Fiorentina,87,64,68,78,34,52
